id		nm		lat		lon		countryCode
700918		Mohyliv-Podilskyy		48.445980		27.798201		UA
702563		Lutugino		48.405071		39.226749		UA
702658		Luhansk		48.567051		39.317059		UA
702760		Lozova		48.889370		36.317551		UA
704147		Kremenchuk		49.097252		33.419720		UA
704508		Kramatorsk		48.723049		37.556290		UA
704608		Kivsharivka		49.621250		37.703571		UA
705809		Kirovsk		48.637508		38.642799		UA
706380		Khmilnyk		49.559792		27.957541		UA
706749		Karlivka		49.456680		35.129471		UA
707155		Kalynivka		49.453892		28.526079		UA
707752		Horodok		49.163738		26.583941		UA
707753		Horlivka		48.346981		38.054192		UA
708366		Horodyshche		49.284889		31.445129		UA
708898		Hayvoron		48.339581		29.867910		UA
709782		Dolynska		48.110409		32.764488		UA
709835		Dokuchayevsk		47.747730		37.673840		UA
709900		Dobropolye		48.461472		37.085239		UA
709960		Dniprorudne		47.381691		34.976521		UA
711350		Bucha		50.543449		30.212009		UA
712165		Bila Tserkva		49.809391		30.112089		UA
712861		Bar		49.077171		27.682560		UA
712967		Bakhmach		51.180759		32.756939		UA
713163		Artsyz		45.991940		29.418240		UA
6559559		Komsomolsk		49.009731		33.645458		UA
461727		Olenevka		45.383331		32.533329		UA
505257		Urzuf		46.915619		37.099609		UA
616196		Staryy Dobrotvor		50.231541		24.377001		UA
686812		Zuya		45.053101		34.315418		UA
686863		Zolotyy Potik		48.909500		25.339260		UA
686895		Zolochiv		50.279850		35.981781		UA
686932		Zlynka		48.485222		31.539061		UA
687009		Zhuravka		50.481079		32.594898		UA
687065		Zhovtneve		50.663651		24.249180		UA
687191		Zhelyabovka		45.398769		34.757759		UA
687433		Zdolbitsa		50.496071		26.241110		UA
687526		Zavallya		48.213539		30.015579		UA
687556		Karolino-Buhaz		46.144920		30.526091		UA
687562		Zatyshshya		47.333511		29.873270		UA
687578		Zastavna		48.523071		25.843691		UA
687602		Zarya		45.990799		29.696720		UA
687645		Zarichchya		48.521439		24.648569		UA
687652		Zarichne		51.812599		26.129021		UA
687726		Zaozerne		45.158161		33.278660		UA
687787		Zaliztsi		49.791882		25.372971		UA
687797		Zaliznychne		45.748901		28.614660		UA
687824		Zalesnoye		48.031040		38.809341		UA
687872		Zahvizdya		48.918362		24.652750		UA
687901		Zagnitkiv		48.048779		28.892340		UA
688052		Yurkivka		49.012562		31.101250		UA
688127		Yerky		48.990620		30.988180		UA
688365		Yasinya		48.279369		24.360420		UA
688512		Yamnytsya		48.989719		24.707500		UA
688532		Yalta		46.962791		37.273651		UA
688637		Yablunytsya		48.317421		24.484480		UA
688717		Vyshkovo		48.049110		23.421129		UA
688749		Vylok		48.109150		22.838650		UA
688750		Vylkove		45.402142		29.585951		UA
688805		Vvedenka		49.824409		36.507469		UA
688846		Vradiyivka		47.861950		30.591949		UA
688865		Voznesenka		46.871651		35.464581		UA
688904		Voykove		45.382610		36.437241		UA
688951		Voskhod		45.339199		36.414101		UA
688961		Vorozhba		51.173340		34.219170		UA
689003		Voronovytsya		49.109539		28.680780		UA
689106		Volovets		48.710899		23.185101		UA
689144		Voloka		48.192249		25.930740		UA
689190		Volnoye		47.636459		34.813869		UA
689307		Voyinka		45.869900		33.991379		UA
689428		Volodymyrets		51.421299		26.144690		UA
689434		Vyzhnytsya		48.248009		25.194521		UA
689488		Vyshneve		48.436611		33.916180		UA
689531		Vynohradove		46.369572		32.939800		UA
689543		Vynohradivka		45.681190		28.571381		UA
689595		Viline		44.845600		33.671612		UA
689736		Vesele		47.014790		34.915039		UA
689817		Verkhovyna		48.155708		24.791121		UA
689830		Verkhnyaya Syrovatka		50.829021		34.958611		UA
689857		Verkhnyachka		48.828491		30.039570		UA
689868		Verkhniy Rohachyk		47.250542		34.337971		UA
689892		Verkhneye Sinevidnoye		49.103069		23.590990		UA
689945		Verenchanka		48.546532		25.745331		UA
690009		Verbivka		49.416672		35.533329		UA
690032		Vendychany		48.611759		27.793240		UA
690035		Velykoploske		47.012539		29.671709		UA
690038		Velyka Mykhaylivka		47.079441		29.851391		UA
690132		Velykyy Klyuchiv		48.470921		24.946779		UA
690147		Velikiye Sorochintsy		50.023140		33.941441		UA
690165		Velyki Kopany		46.486839		32.974979		UA
690184		Velikiye Borki		49.523640		25.757530		UA
690193		Velikiy Burluk		50.037868		37.398708		UA
690230		Velyka Pysarivka		50.425869		35.485020		UA
690285		Velyka Bahachka		49.791161		33.722580		UA
690428		Vashkivtsi		48.384918		25.510229		UA
690434		Vary		48.122070		22.712811		UA
690485		Vapnyarka		48.534790		28.743580		UA
690600		Ustynivka		47.955070		32.536739		UA
690673		Uralo-Kavkaz		48.295761		39.825371		UA
690679		Nyzhni Petrivtsi		48.028469		25.723270		UA
690745		Ulichnoye		49.233849		23.651110		UA
690756		Ulanov		49.695122		28.132980		UA
690804		Uhryniv		48.955200		24.692921		UA
690820		Uhlove		44.821461		33.604519		UA
690875		Tysmenychany		48.771679		24.666260		UA
690890		Tynnoye		50.601452		26.184860		UA
690985		Turbiv		49.347881		28.721170		UA
691052		Tsybli		49.994839		31.562811		UA
691097		Tsibulev		49.079071		29.847260		UA
691155		Tsarychanka		48.936970		34.478600		UA
691305		Tripolye		50.118019		30.781410		UA
